name,owner_login,language,stars,forks,watchers,open_issues,created_date,updated_date,license_name
tensorflow,tensorflow,C++,197559,76115,197559,2929,2015-11-07,2026-08-24,Apache License 2.0
transformers,huggingface,Python,164402,34342,164402,2396,2018-10-29,2026-08-24,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89752,22063,89752,13,2021-03-03,2026-08-24,MIT License
funNLP,fighting41love,Python,82640,15278,82640,52,2018-08-21,2026-08-24,No License
awesome-machine-learning,josephmisiti,Python,74145,15621,74145,26,2014-07-15,2026-08-24,Other
scikit-learn,scikit-learn,Python,67056,27309,67056,2127,2010-08-17,2026-08-24,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43413,3579,43413,165,2018-12-19,2026-08-24,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36493,7462,36493,68,2021-01-02,2026-08-24,No License
C-Plus-Plus,TheAlgorithms,C++,34599,7854,34599,28,2016-07-16,2026-08-24,MIT License
netron,lutzroeder,JavaScript,33397,3177,33397,18,2010-12-26,2026-08-24,MIT License
ML-From-Scratch,eriklindernoren,Python,32519,5432,32519,77,2017-02-05,2026-08-24,MIT License
applied-ml,eugeneyan,Unknown,30080,3992,30080,8,2020-07-04,2026-08-24,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28867,6147,28867,32,2016-10-09,2026-08-24,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28806,12904,28806,21,2019-07-13,2026-08-23,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27994,3534,27994,26,2023-09-06,2026-08-24,Other
shap,shap,Jupyter Notebook,25699,3746,25699,1009,2016-11-22,2026-08-24,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24774,4194,24774,30,2018-11-01,2026-08-23,MIT License
Paddle,PaddlePaddle,C++,24062,6016,24062,1504,2016-08-15,2026-08-24,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23729,3146,23729,54,2020-11-29,2026-08-24,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22340,4770,22340,18,2016-07-16,2026-08-24,GNU General Public License v3.0
onnx,onnx,Python,21352,4009,21352,286,2017-09-07,2026-08-24,Apache License 2.0
rasa,RasaHQ,Python,21304,4919,21304,154,2016-10-14,2026-08-24,Apache License 2.0
video2x,k4yt3x,C++,21043,1825,21043,131,2018-02-24,2026-08-24,GNU Affero General Public License v3.0
awesome-production-machine-learning,EthicalML,Unknown,20868,2590,20868,31,2018-08-15,2026-08-24,MIT License
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20617,5553,20617,8,2018-05-09,2026-08-24,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20153,4253,20153,20,2018-08-04,2026-08-24,MIT License
ml-agents,Unity-Technologies,C#,19642,4485,19642,20,2017-09-08,2026-08-24,Other
LightGBM,lightgbm-org,C++,18710,4055,18710,512,2016-08-05,2026-08-24,MIT License
ml-engineering,stas00,Python,18697,1205,18697,4,2020-09-02,2026-08-24,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18144,3969,18144,47,2015-09-12,2026-08-24,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17798,4627,17798,36,2019-07-05,2026-08-24,No License
brpc,apache,C++,17593,4137,17593,466,2017-09-04,2026-08-24,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17385,2125,17385,21,2021-06-25,2026-08-24,Creative Commons Zero v1.0 Universal
